V,4X,4Y,5X,5Y,6X,6Y,7X,7Y,8X,8Y,9X,9Y
11.0,16585950.912521701,8.667085809068266e-06,11786077.421202302,7.533295031395917e-06,8685635.578314707,6.6202982717489585e-06,6621815.62818588,5.7873134290981635e-06,5189392.649101033,4.988464528698182e-06,4177900.9840455055,4.2294586902995115e-06
11.2,16570244.520207174,9.52897956786753e-06,11770371.028887775,8.355295658012972e-06,8663646.629074369,7.420093781650706e-06,6596685.400482637,6.566327472049963e-06,5157979.864471979,5.742572259345461e-06,4137064.364027736,4.949829477778174e-06
11.4,16570244.520207174,9.649071188418393e-06,11770371.028887775,8.459012481188929e-06,8666787.907537274,7.5063925536110015e-06,6599826.678945542,6.630796754448533e-06,5164262.42139779,5.778973855696732e-06,4149629.477879357,4.951429738717255e-06
11.6,16560820.684818458,1.0433302912654002e-05,11757805.915036155,9.204966114549095e-06,8651081.515222747,8.230142523894881e-06,6584120.286631015,7.333850797689732e-06,5145414.750620358,6.4579821527172034e-06,4121357.9717132086,5.599575186138043e-06
11.8,16554538.127892647,1.131292730994889e-05,11748382.079647439,1.0029150267643321e-05,8641657.67983403,9.01542365658647e-06,6571555.172779394,8.080639267983225e-06,5129708.358305831,7.161740353979642e-06,4105651.579398682,6.2535645763139045e-06
12.0,16538831.735578122,1.260521368992233e-05,11726393.1304071,1.1297846364784596e-05,8616527.452130789,1.029007140198646e-05,6543283.666613245,9.366135090148836e-06,5098295.573676778,8.453080623497497e-06,4067956.2378438176,7.53791288066e-06
12.2,16551396.849429742,1.1666280021378724e-05,11742099.522721628,1.0361985785326515e-05,8638516.401371125,9.330930922787072e-06,6568413.894316489,8.37357648640158e-06,5132849.636768737,7.422474458717714e-06,4108792.8578615873,6.46951065417786e-06
12.4,16504277.672486162,1.6501811808361884e-05,11679273.953463519,1.5129014521809818e-05,8569408.275187207,1.4154335972551131e-05,6486740.654280949,1.3293648663121104e-05,5038611.282881576,1.2450496595630236e-05,3995706.8331969944,1.1598529298316256e-05
12.6,16513701.507874878,1.5283678839121636e-05,11691839.06731514,1.3920242178800365e-05,8581973.38903883,1.2920784782297102e-05,6505588.325058381,1.2021326261383143e-05,5057458.953659008,1.1131639214183394e-05,4017695.7824373315,1.0228247578700411e-05
12.8,16494853.837097446,1.8203300515151665e-05,11669850.118074805,1.679261853874664e-05,8556843.161335586,1.5820432472674718e-05,6474175.540429328,1.4972059577318697e-05,5026046.169029954,1.4139784084897793e-05,3983141.7193453726,1.3291256841487726e-05
13.0,16485430.00170873,1.982388291271252e-05,11657285.004223183,1.8387507552163023e-05,8544278.047483964,1.7428241674843342e-05,6464751.705040611,1.6601915370095056e-05,5016622.3336412385,1.578905672623827e-05,3973717.883956657,1.4950235396657906e-05
13.2,16479147.444782918,2.1345877036300754e-05,11651002.447297372,1.988343330637014e-05,8537995.490558155,1.8935396946605442e-05,6455327.869651896,1.8130590833770476e-05,5007198.498252522,1.733948894462508e-05,3967435.327030846,1.651732148712146e-05
13.4,16513701.507874878,1.6589824870533972e-05,11694980.345778046,1.5101550012085244e-05,8588255.94596464,1.3989251659447389e-05,6511870.881984192,1.296123557802028e-05,5070024.067510629,1.1915524804090034e-05,4036543.453214764,1.0822848829355856e-05
13.6,16457158.495542582,2.7954231099548153e-05,11622730.941131223,2.6437245163645737e-05,8506582.7059291,2.5611601005506155e-05,6427056.363485747,2.4993878400141533e-05,4975785.713623468,2.4414846194482134e-05,3936022.542401792,2.381115627603639e-05
13.8,16491712.55863454,2.0447243885673425e-05,11666708.8396119,1.8889541895504938e-05,8556843.161335586,1.7801238635467013e-05,6480458.0973551385,1.6821281259895535e-05,5032328.725955765,1.582139521062579e-05,3995706.8331969944,1.475668074881293e-05
14.0,16485430.00170873,2.1819079498777477e-05,11660426.282686088,2.022576722547538e-05,8550560.604409775,1.9132959624415473e-05,6471034.261966422,1.8154684794022136e-05,5026046.169029954,1.715317832169228e-05,3989424.2762711835,1.6078432771233445e-05
